what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358933376869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1358933414543
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1358933420128
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1358933430705
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1358933430751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1358933446305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1358933463979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1358933480359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1358933495179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1358933509890
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1358933586611
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1358933595831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358933602040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358933604177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358933607156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1358933610417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358933613240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358933615658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358933620385
